Username,Tweet
dedy_gl100,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/bhGLdWd0GL"
Muhammadsofial1,@Agusrantesa @LekMarteg @ganjarpranowo Itu kan pas hari libur kerja drunnnnn
Yana_Cianjur,"@martajasa0811 @Metro_TV @ganjarpranowo @aniesbaswedan Nasdem,PKS dan demokrat ormas ya  bukan Partai ,"
finaayunii,@Ganjaran_app @ganjarpranowo Meria sekali acara ya dan semogah relawan bapak ganjar terus kompak.
goentz1,"Menteri Pertahanan Prabowo Subianto mendorong para mahasiswa agar menjadi generasi muda yang berani, inovatif serta mampu menguasai ilmu pengetahuan dan teknologi. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/iZeYX8oRZj"
kacaspion__,@Metro_TV @ganjarpranowo @aniesbaswedan Yang bingung itu si Surya 🤣🤣🤣
AnthonyLuhulim4,"@Metro_TV @ganjarpranowo @aniesbaswedan Ganjar bingung karena Pendampingnya semua keren, kalau Anies belum dapat pendamping karena semua ndak mau jadi pendamping Anies kecuali Anak baru belajar AHY."
AzikinFaizhal,"@aniesbaswedan @feryfarhati Alhamdulillah semoga jadi haji yg mabrur dan menjadi Presiden RI tahun 2024
Aamiin"
e100ss,"Prabowo hingga Ganjar Pranowo Melayat ke Kediaman Desmond Mahesa
https://t.co/sS5e6TwuYp"
seirraanc,@Ganjaran_app @ganjarpranowo Ayo didownload jangan lupaa
wandystjk2,"Menteri Pertahanan Prabowo Subianto menyebut Wali Kota Solo Gibran Rakabuming Raka sebagai pemimpin masa depan. 

Saya sih Yes 👍
Gibran Pemimpin Masa depan👍
https://t.co/eM0en3Wi1I"
HariSuwondoSug1,@ganjarpranowo Eneg banget
youl_af,"@Metro_TV @ganjarpranowo @aniesbaswedan Bisa jadi gak Ada Yang mau jadi wakil dia, kartu mati !!!"
Syapran_s,"@Metro_TV @ganjarpranowo @aniesbaswedan Sudah dapat cawapresnya, Kades WADAS"
UyokBack,Sampeyan KTP mana @ganjarpranowo ?
Bersayapamanah,"Anggota DPR Kritik Prabowo Beli Mirage Bekas

#bukanprabowopresiden
#tolakprabowosubianto
#PrabowoJahat 
#PrabowoSubianto https://t.co/nT31EtdJMC"
putri_lave,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/1Miu90PB4L"
goentz1,"Selaras dengan hal tersebut, Prabowo juga turut mendorong mahasiswa untuk berpesan dalam upaya negara memanfaatkan bonus demografi yang akan dicapai oleh Indonesia. 

#KitaSemuaBersatu 
Prabowo Subianto"
AAldhiaz,"Ini hny salah satu Perusahaan korban tanggul jebol di kawasan Lamicitra Pel.Tanjung Mas SMRNG,krn keteledoran dan ketidakbecusan Gub. @ganjarpranowo,ribuan karyawan hrs kehilangan pekerjaan,smgo ini menjadi perhatian GP selaku pemimpin Jateng.
Luna Maya.
Kabar Duka 
Kecolongan. https://t.co/UcfGFaMJd3"
goentz1,"Ia melanjutkan, dengan karakter tersebut maka para mahasiswa bisa menjadi tokoh-tokoh nasional yang kelak mampu membawa perubahan dan membantu Indonesia menuju kemakmuran. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/Egi145ay1c"
Info_parlemen,"PROJO Sulawesi Utara dukung Prabowo-Airlangga sebagai pasangan capres-cawapres di Pilpres 2024 mendatang

#AirlanggaHartarto #golkarindonesia #Pemilu2024 #Capres2024 #Pilpres2024 #pemiluserentak2024 #PrabowoSubianto #Golkar https://t.co/u7UaxKXzxJ"
UmarPat09956771,"Waduh pak prabowo gimana nih 
#prabowosubianto https://t.co/7iKymrbl9F"
