Username,Tweet
68Supriyono,"@islah_bahrawi @ganjarpranowo @aniesbaswedan Sudah diberikan contoh bagaimana menjaga ukhuwah islamiah , mengedepankan rasa persaudaraan sesama anak bangsa dgn mengesampingkan persaingan politik oleh kedua capres . Tapi masih juga diotak-atik dgn narasi yg nggak penting . Seperti kurang kerjaan ..."
Ch1ke1,@sarah_enjeuLL @Brebestone2 @aniesbaswedan Ngeles lagi Pir
edomedia99,Unggah Foto Hoaks Editan Anies Baswedan Tawaf Bareng Raja Salman &amp;#8211; Musni Umar Minta Maaf https://t.co/Rj38ghbM3N
BonekGL,@islah_bahrawi @ganjarpranowo @aniesbaswedan lho...itu yg jadi tukang sotreknya king salmon
pieteriskandar0,"@ategeo @Jens_alfaqir @DokterTifa @jokowi @aniesbaswedan Menghadirkan saksi dalam sangkaan dan ijasah palsu, dalam hal ini presiden Jokowi, dapat dipanggil saksi fakta lain yg berkesesuaian dengan fakta. Majelis hakim dapat menilai apakah saksi fakta tersebut sudah cukup membuktikan atau tidak. Bila majelis hakim menilai belum cukup..."
InaWina14,@GobezMia @amir_fariki @aniesbaswedan @PDI_Perjuangan Yang tolol elu
GrandLight88,@BakulSego116611 @DewiOzza @aniesbaswedan Itu yg di pintu mobil logo kerajaan atau logo perusahaan taxi?
InaWina14,@amir_fariki @aniesbaswedan @PDI_Perjuangan Itu yg motong foto pasti orang yg suka ngedit2 foto orang.. yg kampungan itu.. yang bisanya bikin foto hoax... 🤣🤣🤣 Kasian banget
fs2108,@amir_fariki @aniesbaswedan @PDI_Perjuangan Sesuai captionlah bambang.
MichelAdam7__,"Di Kecamatan Kedungbanteng, lahir Relawan Kedunganies, 

atas prakarsa simpul relawan Anies Baswedan Club (ABClub) &amp; Jarnas ABW.

Di Banyumas Jawa Tengah, Kedungbanteng jadi Kedunganies
https://t.co/PveO7gqg39

#2024Gant1Presiden 
#2024Gant1Presiden"
feylazyaw,"@NasDem @aniesbaswedan @ganjarpranowo ada yg ngibul diundang kerajaan saudi
dan partai pengusungnya tolol"
gusdureen,"@islah_bahrawi @ganjarpranowo @aniesbaswedan Pesanku cuma satu, kalau lagi ibadah jangan nonton dulu ya.. 😁"
ArionHasib2082,@islah_bahrawi @Alewiraputra23 @ganjarpranowo @aniesbaswedan emang cewe yg didepan siapa om?? apa anaknya amin rasis??🤣🤣🤣
ChikaPermataaaa,"Ini salah satu REKAM JEJAK Anies Baswedan yang menelan korban jiwa

Bikin karya bukannya bermanfaat tapi malah MEMBUNUH WARGANYA sendiri

Geter Tasyi Alwi Nex Carlos Royco Sapi Pendek EMANG BOLEH SEGANTENG INI Sakura Yuna Nadia Dengkul garuda mendunia Muhammadiyah Haki Arafah https://t.co/VY3xv6viZo"
tetengmuma48221,"@islah_bahrawi @ganjarpranowo @aniesbaswedan Yg alumni Tokyo Daigaku dgn wajah rupawan yg tdk bosan² mengontemplasinya.
 Alhamdulillah atas kesempatan yg dkberikaNya ini."
DwiYatmo1698057,@De_Madha @DokterTifa @jokowi @aniesbaswedan Ooh gitu ya 𝗱𝗿𝘂𝘂𝗻..!?!?!? ⬇️ https://t.co/2AmPrmOZr6
embie056736821,"https://t.co/hUBryHVU3e

Woooowww... Sejarah yang unik
Seru banget pak @aniesbaswedan 
Saya meyakini TIDAK ADA YANG NAMANYA KEBETULAN DIDUNIA INI 

Ai aran milik moal pahili teh kiyeu.. 
Subhanallah, seru saya membayangkan kelompok yang 65 % itu bisa dijangkau dengan jalan ini 🥳 https://t.co/EiYxcVYljn"
jowotulenasli,"@DokterTifa @jokowi @aniesbaswedan Biyen ya biyen.
Saiki isoh tak olah lan gugu pengaruhku, 
Tak gedekke anaku dewe ngopo gedekke anakke uwong. 

Hanya istilah dlm pewayangan. 
Judul cari dewe🫢"
BagongBodronoyo,Lihat video Bagong Brodonoyo! #TikTok https://t.co/XCre7xOTup
IrvanRajulan,@geloraco Pak Anies Baswedan makin dihina atau direndahkan maka akan makin bersinar dan makin disayang oleh rakyat Indonesia.
GilaKadrun,@NasDem @aniesbaswedan @ganjarpranowo Bapak politik identitas Anies mulut manis bau amis
0512Vip,"@NasDem @aniesbaswedan @NasDem percaya ggak,, kalo pak @aniesbaswedan berhaji  kali ini diundang oleh Raja Salman, bhkan diberi paviliun istana utk bermalam.
,,.."
De_Madha,"@DwiYatmo1698057 @DokterTifa @jokowi @aniesbaswedan Tanda2 cebong memang begini nich, ngomen duluan mikir belakangan, tanpa ngerti yang dikomen, gak nyambung"
HasanToha3,@deny01184907 @DokterTifa @jokowi @aniesbaswedan Orang bodoh mana bisa berkata kata.
DergaAgam,@Rawit234234 @CNNIndonesia @masbutet @aniesbaswedan @prabowo @Gerindra @NasDem Percuma lapor gak akan di proses..
jandakembang78,"@_Banyoe Ilmu pengetahuan yg didapat dari nyembah iblis. Mengabdi pada iblis, meminta kemakmuran, ilmu pengetahuan, kesehatan,  kekuasaan"
he39861400,"@tohir_extrem @musniumar @ekowboy2 @Mdy_Asmara1701 @tatakujiyati @aniesindo @aniesbaswedan Kamu juga sih Fir, selalu meunkemakan hoax."
0512Vip,"Pak @aniesbaswedan ,, mohon dengan sangat, amat sekali,, mohon video perbuncangan dengan Raja Salman diupload juga. Biar netizen,, baik yg dukung sampeyan n yg gga dukung bisa liat langsung,, bahwa p @aniesbaswedan adalah tamu istimewa King Salman.

Banyak bredar video editan pak"
suharnogareng,@Soemir28 @NohCeukenohhh @PKSejahtera @PDI_Perjuangan @aniesbaswedan Maklum.......Kuminis emang gitu kelakuannya.
Abingsanca,@widarto63285827 @aniesbaswedan @LebakBulusInfo @__AnakKolong @Wo2_Anis_ORBA_ @BRidwan908 @musniumar @bachrum_achmadi @_RiuRizkiUtomo @NgkongRoses @j6rt9gw2hd @4Y4NKZ @triajaaa @K7_m0en Pak RT nya mungkin wakil tuhan.
Aphrodite_AB1,@islah_bahrawi @ganjarpranowo @aniesbaswedan Emang tuhan bisa bikin undangan ya? Setahuku. Yg ngundang tetap manusia. Yang mengizinkan Allah. Ga usah muter2. Agama ini dah kebanyakan orang yg suka muter2. Pertanyaan lu sama persis mana duluan ayam apa telor? Terus yg suka angkat telor kok ga dibilang angkat ayam? 🤣🤣
pieteriskandar0,"@ategeo @Jens_alfaqir @DokterTifa @jokowi @aniesbaswedan Terserah jaksa mau menghadirkan atau tidak, bukan soal boleh atau tidak. Demikian juga pembela silahkan saja menjadikan presiden Jokowi sebagai saksi."
bokulos_,@Mdy_Asmara1701 Dari dulu jaman Pilgub DKI 2017 sudah biasa pendukung Anies Baswedan mah sebar Hoax jadi gak usah di larang toh kita/cebong gak akan percaya apa yg di posting kadrun
gun_mastercuan,@islah_bahrawi @ganjarpranowo @aniesbaswedan Hanya digolongan anda bahas ibadah haji orang lain gak jelas.
ndukurkotarih,"@DokterTifa @jokowi @aniesbaswedan Jangankan presiden,kami rakyat aj tau,beliau lebih banyak bicara dari pada bekerja....."
0512Vip,"@Fita_Shanty Ada cuplikan comotan potongan video yg sama dg yg disebar²in ggak??

Yg dikompilasi dg video ucapan @aniesbaswedan ttg diundang Raja Salman,,

😁"
