username,pesan
@DokterTifa,"Ketika mas 
@aniesbaswedan
 Dalam kampanye Pilkada DKI Jakarta waktu itu, dengan yakin dan bersemangat akan bikin program Rumah DP 0%, kening saya berkerut dan dalam hati saya membatin:

Ah mana mungkin. Ngacok aja nih Anies.

But, a long the way, beberapa bulan ini saya sedang… Show more"
@noanverse,Pak Anies sukses loh jadi gubernur Jakarta
@scraspe,Anies sukses mengelola digitalisasi pelayanan publik melalui JAKI
,Anies peka akan kondisi pendidikan di Indonesia
@kasman_abdya,"Jika Anies-Gatot (ABGAN)  duet, badai dari RRC pasti lebih kuat."
@Dennysiregar7,"Dapet kabar, Anies mau dipasang2kan sama beberapa tokoh moderat utk menghapus jejak hitam politik identitasnya..

Tapi gada yang mau "
@cebong_dungu2,Jhon Sitorus bin miduk17 yang notabene non muslim sang penghembus fitnah terhadap Bapak Anies Baswedan sedang nangis karena hatinya SAKIT ngeliat kenyataan Bapak Anies Baswedan di Arab Saudi
@PenunggangHati,"Rumusnya begini :

JIS vs simpang susun semanggi
Sirkuit FE vs simpang susun semanggi
Kp. Aquarium vs simpang susun semanggi
Halte Sudirman vs simpang susun semanggi

Jadi semua hasil karya Anies cuma vs simpang susun semanggi, karena ga ada lg yg bisa dibanggakan"
@bachrum_achmadi,"JIS itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

Klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

Tp klo JIS dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke Anies! "
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?"
@bachrum_achmadi,"Dulu awal ditangkap heboh kali, seolah Johnny G Plate korupsi rugikan negara 8 triliun.

Makin ke sini, ternyata Plate diduga memperkaya diri 17.8 miliar. Pdhl yg diterima pihak lainnya jauh lbh bsr.

Heboh krn Plate dr NasDem parte pendukung Anies. Kolam jd bergemuruh!"
@sintaaeeyy,Pak Anies peka dan responsif sebagai seorang pemimpin.
@fenjuls,Pak Anies ahli sebagai pemimpin karena pengalamannya
@streetlawyers85,"Heran aja penjilat anies, apa dipikirnya JIS itu punya 
@aniesbaswedan
. Itu aset negara, skrg negara mau benahi ngak perlu ngamuk2. Syukur2 kekurangan itu tdk dilaporkan ke 
@KPK_RI
 apalagi sdh habiskan anggaran 5T tapi tdk bisa digunakan. Kalau JIS masuk jg KPK terlalu byk kasus."
@enermge,Anies tekun mengajari tanpa menggurui
@jaa63300,Pak Anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.
@purw73,"Anies Baswedan sang cucu pahlawan Nasional Indonesia membangun JIS u Persija , karya  % anak bangsa tanpa ngutang."
